layer,metric,mean,std,n,ci_lower,ci_upper,se,category,source_file
6,cosine_dist,0.3853605162411928,0.2831170786092664,625,0.3631645451418985,0.40755648734048705,0.011324683144370655,metaphor,
7,cosine_dist,0.4427473049134016,0.2798876627954579,625,0.42080451536155405,0.4646900944652491,0.011195506511818316,metaphor,
8,cosine_dist,0.4744211405485868,0.2718125934024917,625,0.45311142480405425,0.49573085629311936,0.010872503736099668,metaphor,
9,cosine_dist,0.4562843932569027,0.2727057014777251,625,0.43490465912589976,0.4776641273879056,0.010908228059109005,metaphor,
10,cosine_dist,0.3466306605756283,0.2227677670105698,625,0.32916598856534324,0.36409533258591337,0.008910710680422792,metaphor,
11,cosine_dist,0.4093660441309213,0.2424038152904677,625,0.39036193422354465,0.428370154038298,0.009696152611618708,metaphor,
12,cosine_dist,0.3872897748038172,0.2287197381486996,625,0.3693584768308219,0.4052210727768125,0.009148789525947984,metaphor,
13,cosine_dist,0.4010018633782863,0.2320061138998499,625,0.38281291828081415,0.41919080847575846,0.009280244555993996,metaphor,
14,cosine_dist,0.3824454575002193,0.2195330037731223,625,0.36523438626769067,0.39965652873274793,0.008781320150924891,metaphor,
15,cosine_dist,0.3059729063510895,0.1957908146046796,625,0.2906231885459323,0.3213226241562467,0.007831632584187183,metaphor,
16,cosine_dist,0.2940567912578583,0.1950619343414081,625,0.2787642166153032,0.30934936590041334,0.007802477373656323,metaphor,
17,cosine_dist,0.2682337303519249,0.189255674784572,625,0.25339635809402145,0.2830711026098283,0.0075702269913828805,metaphor,
18,cosine_dist,0.2857156802535057,0.1819608612519115,625,0.27145021086752025,0.29998114963949113,0.00727843445007646,metaphor,
19,cosine_dist,0.2956728074371815,0.1905831732939345,625,0.2807313612085628,0.3106142536658002,0.00762332693175738,metaphor,
20,cosine_dist,0.2847922750711441,0.1831564055635935,625,0.27043307673344585,0.2991514734088423,0.00732625622254374,metaphor,
21,cosine_dist,0.3054454766333103,0.1952702434482221,625,0.29013657085687494,0.32075438240974563,0.007810809737928884,metaphor,
22,cosine_dist,0.2715397738307714,0.1899655994987115,625,0.25664674449801,0.28643280316353276,0.00759862397994846,metaphor,
23,cosine_dist,0.3902174930155277,0.2268717209306608,625,0.37243107693013905,0.4080039091009164,0.009074868837226432,metaphor,
24,cosine_dist,0.3603970393300056,0.1999050538397118,625,0.3447247710958706,0.37606930756414064,0.007996202153588473,metaphor,
25,cosine_dist,0.3238525074124336,0.1963973768865137,625,0.30845523599820535,0.33924977882666185,0.00785589507546055,metaphor,
26,cosine_dist,0.3656609793186188,0.2050317114938897,625,0.34958678850995356,0.38173517012728403,0.008201268459755589,metaphor,
27,cosine_dist,0.3887172950983047,0.2098202041833876,625,0.3722676933611735,0.40516689683543594,0.008392808167335503,metaphor,
28,cosine_dist,0.4121564069926738,0.210141712408384,625,0.39568159947387355,0.42863121451147407,0.00840566849633536,metaphor,
29,cosine_dist,0.4264011510431766,0.2167940745650537,625,0.40940480791480877,0.44339749417154445,0.008671762982602148,metaphor,
30,cosine_dist,0.3339417295068502,0.195358457381802,625,0.3186259078851048,0.3492575511285956,0.00781433829527208,metaphor,
