layer,metric,mean,std,n,source_file
11,literal_only_features,20.910179640718564,10.097425422716922,1002,checkpoint_token_level_layer_20.csv
11,shared_features,29.204590818363272,8.234042747175346,1002,checkpoint_token_level_layer_20.csv
11,slang_active,52.29540918163673,17.97815704183812,1002,checkpoint_token_level_layer_20.csv
11,slang_only_features,23.090818363273453,13.945529031521325,1002,checkpoint_token_level_layer_20.csv
12,cosine_dist,0.3451667039575215,0.1201683373245085,1002,checkpoint_token_level_layer_20.csv
12,l1_dist,2656.889499991716,1341.064326356312,1002,checkpoint_token_level_layer_20.csv
12,l2_dist,363.0863704414901,114.92578660958377,1002,checkpoint_token_level_layer_20.csv
12,literal_active,58.880239520958085,16.638627974108722,1002,checkpoint_token_level_layer_20.csv
12,literal_only_features,23.686626746506985,11.517997753685115,1002,checkpoint_token_level_layer_20.csv
12,shared_features,35.1936127744511,11.210579153275392,1002,checkpoint_token_level_layer_20.csv
12,slang_active,58.70459081836327,20.937044662602883,1002,checkpoint_token_level_layer_20.csv
12,slang_only_features,23.51097804391217,15.010454747876258,1002,checkpoint_token_level_layer_20.csv
13,cosine_dist,0.314671083808897,0.1180768171775776,1002,checkpoint_token_level_layer_20.csv
13,l1_dist,3139.4583179831743,1503.1924544467215,1002,checkpoint_token_level_layer_20.csv
13,l2_dist,437.6723485249959,138.23169462088347,1002,checkpoint_token_level_layer_20.csv
13,literal_active,51.73253493013972,16.14963460779676,1002,checkpoint_token_level_layer_20.csv
13,literal_only_features,24.41317365269461,11.269203884720236,1002,checkpoint_token_level_layer_20.csv
13,shared_features,27.31936127744511,9.690613417858994,1002,checkpoint_token_level_layer_20.csv
13,slang_active,47.25349301397205,18.283845731819145,1002,checkpoint_token_level_layer_20.csv
13,slang_only_features,19.934131736526947,13.257154611673467,1002,checkpoint_token_level_layer_20.csv
14,cosine_dist,0.2764401395401792,0.1250263362351404,1002,checkpoint_token_level_layer_20.csv
14,l1_dist,3291.0373877489164,1619.4568408694695,1002,checkpoint_token_level_layer_20.csv
14,l2_dist,515.0287788071319,154.86586092056965,1002,checkpoint_token_level_layer_20.csv
14,literal_active,43.88822355289421,15.325265202627405,1002,checkpoint_token_level_layer_20.csv
14,literal_only_features,21.20259481037924,10.777548985239388,1002,checkpoint_token_level_layer_20.csv
14,shared_features,22.68562874251497,8.552174791628097,1002,checkpoint_token_level_layer_20.csv
14,slang_active,37.57385229540918,16.767430973385437,1002,checkpoint_token_level_layer_20.csv
14,slang_only_features,14.888223552894212,12.327997485152904,1002,checkpoint_token_level_layer_20.csv
15,cosine_dist,0.2485870824840492,0.1083780932466525,1002,checkpoint_token_level_layer_20.csv
15,l1_dist,3793.3420722032497,1791.0339838206428,1002,checkpoint_token_level_layer_20.csv
15,l2_dist,598.0862462696676,174.6499043637298,1002,checkpoint_token_level_layer_20.csv
15,literal_active,44.35728542914172,16.185985282867794,1002,checkpoint_token_level_layer_20.csv
15,literal_only_features,21.35429141716567,10.972439914237992,1002,checkpoint_token_level_layer_20.csv
15,shared_features,23.00299401197605,9.153546645185838,1002,checkpoint_token_level_layer_20.csv
15,slang_active,36.84830339321357,15.788173082949596,1002,checkpoint_token_level_layer_20.csv
15,slang_only_features,13.845309381237524,10.812363688713852,1002,checkpoint_token_level_layer_20.csv
